Countries,Year,Happiness
China,2005,4.86286211013794
China,2006,4.84629487991333
China,2007,4.45436096191406
China,2008,4.65273666381836
China,2009,5.03720760345459
China,2010,5.09491729736328
China,2011,5.24109029769897
China,2012,5.19561910629272
China,2013,5.30387783050537
China,2014,5.32495594024658
China,2015,5.09906148910522
China,2016,5.13143396377563
China,2017,5.14412021636963
China,2018,5.77106475830078
China,2019,5.3390998840332
China,2020,5.58529996871948
Denmark,2003,8.01893424987793
Denmark,2005,7.83423328399658
Denmark,2006,7.97089195251465
Denmark,2007,7.68335866928101
Denmark,2008,7.77051544189453
Denmark,2009,7.78823184967041
Denmark,2010,7.51990938186646
Denmark,2011,7.58860683441162
Denmark,2012,7.50755929946899
Denmark,2013,7.5144248008728
Denmark,2014,7.5577826499939
Denmark,2015,7.59370231628418
Denmark,2016,7.64878559112549
Denmark,2017,7.69300317764282
Denmark,2018,7.5146312713623
Denmark,2019,7.61950016021729
Denmark,2020,7.63619995117188
Estonia,2004,5.37105464935303
Estonia,2005,5.33204412460327
Estonia,2006,5.45193767547607
Estonia,2007,5.1377387046814
Estonia,2009,5.48681974411011
Estonia,2010,5.36392784118652
Estonia,2011,5.36744594573975
Estonia,2012,5.55598258972168
Estonia,2013,5.62890863418579
Estonia,2014,5.6496753692627
Estonia,2015,5.93839597702026
Estonia,2016,6.09130239486694
Estonia,2017,6.03464126586914
Estonia,2018,6.45256376266479
Estonia,2019,6.18879985809326
Estonia,2020,6.3407998085022
Finland,2004,7.67244911193848
Finland,2006,7.67062664031982
Finland,2008,7.39326429367065
Finland,2009,7.35422515869141
Finland,2010,7.4202094078064
Finland,2011,7.44463586807251
Finland,2012,7.38457107543945
Finland,2013,7.44792556762695
Finland,2014,7.65984344482422
Finland,2015,7.78825187683105
Finland,2016,7.85810708999634
Finland,2017,7.78034782409668
Finland,2018,7.88934993743896
Finland,2019,7.84210014343262
Finland,2020,7.82100009918213
France,2003,7.09339284896851
France,2004,6.58270025253296
France,2006,7.00806474685669
France,2007,6.28349828720093
France,2008,6.79790115356445
France,2009,6.9591851234436
France,2010,6.64936542510986
France,2011,6.66712141036987
France,2012,6.46686792373657
France,2013,6.35762500762939
France,2014,6.47520875930786
France,2015,6.63522243499756
France,2016,6.66590356826782
France,2017,6.68964433670044
France,2018,6.71411180496216
France,2019,6.68989992141724
France,2020,6.68669986724854
Germany,2003,6.61954975128174
Germany,2005,6.41681957244873
Germany,2006,6.52179002761841
Germany,2007,6.64149332046509
Germany,2008,6.72453117370605
Germany,2009,6.62131214141846
Germany,2010,6.70236206054688
Germany,2011,6.96512508392334
Germany,2012,6.98421430587769
Germany,2013,7.03713750839233
Germany,2014,6.87376308441162
Germany,2015,7.07432460784912
Germany,2016,7.11836433410645
Germany,2017,7.03547239303589
Germany,2018,7.31189775466919
Germany,2019,7.15450000762939
Germany,2020,7.03410005569458
Greece,2003,6.0063099861145
Greece,2005,6.6469612121582
Greece,2007,6.03857469558716
Greece,2008,5.83955860137939
Greece,2009,5.37203979492188
Greece,2010,5.09635400772095
Greece,2011,4.72025108337402
Greece,2012,4.7562370300293
Greece,2013,5.62251901626587
Greece,2014,5.30261945724487
Greece,2015,5.14824151992798
Greece,2016,5.40928936004639
Greece,2017,5.95215749740601
Greece,2018,5.78761577606201
Greece,2019,5.72259998321533
Greece,2020,5.94820022583008
Hungary,2003,5.19393348693848
Hungary,2005,4.95391702651978
Hungary,2007,4.89460039138794
Hungary,2008,4.72513246536255
Hungary,2009,4.9176025390625
Hungary,2010,4.68335819244385
Hungary,2011,4.91446685791016
Hungary,2012,5.18056344985962
Hungary,2013,5.34438323974609
Hungary,2014,5.44890165328979
Hungary,2015,6.06503868103027
Hungary,2016,5.93577098846436
Hungary,2017,6.00025987625122
Hungary,2018,6.03804969787598
Hungary,2019,5.99160003662109
Hungary,2020,6.0858998298645
India,2004,5.34825897216797
India,2005,5.02679347991943
India,2006,5.14583301544189
India,2007,4.52151775360107
India,2008,4.98927736282349
India,2009,4.63487148284912
India,2010,4.72014665603638
India,2011,4.42778873443604
India,2012,4.42437934875488
India,2013,4.34207916259766
India,2014,4.17917728424072
India,2015,4.04611110687256
India,2016,3.81806874275208
India,2017,3.24876976013184
India,2018,4.22528123855591
India,2019,3.8189001083374
India,2020,3.77710008621216
Ireland,2004,7.14424657821655
Ireland,2006,7.56802988052368
Ireland,2007,7.04591131210327
Ireland,2008,7.25738954544067
Ireland,2009,7.00690412521362
Ireland,2010,6.96464538574219
Ireland,2011,6.760085105896
Ireland,2012,7.01837921142578
Ireland,2013,6.83012533187866
Ireland,2014,7.04073143005371
Ireland,2015,7.06015539169312
Ireland,2016,6.96233558654785
Ireland,2017,7.25484132766724
Ireland,2018,7.03493070602417
Ireland,2019,7.08529996871948
Ireland,2020,7.04080009460449
Italy,2003,6.85378360748291
Italy,2005,6.57441234588623
Italy,2006,6.77977418899536
Italy,2007,6.33380031585693
Italy,2008,6.35423803329468
Italy,2009,6.05708646774292
Italy,2010,5.83931398391724
Italy,2011,6.00937366485596
Italy,2012,6.0265851020813
Italy,2013,5.84768390655518
Italy,2014,5.95452404022217
Italy,2015,6.19887018203735
Italy,2016,6.51652669906616
Italy,2017,6.44541692733765
Italy,2018,6.48835611343384
Italy,2019,6.48309993743896
Italy,2020,6.46670007705688
Japan,2003,6.51581716537476
Japan,2005,6.23819780349731
Japan,2006,5.91067934036255
Japan,2007,5.84499931335449
Japan,2008,6.05675268173218
Japan,2009,6.26279354095459
Japan,2010,5.96821641921997
Japan,2011,5.95936155319214
Japan,2012,5.92262077331543
Japan,2013,5.87968444824219
Japan,2014,5.95465087890625
Japan,2015,5.9106764793396
Japan,2016,5.79357528686523
Japan,2017,5.90803909301758
Japan,2018,6.1179633140564
Japan,2019,5.94049978256226
Japan,2020,6.03889989852905
Latvia,2004,4.70950222015381
Latvia,2005,4.6669716835022
Latvia,2006,5.14537525177002
Latvia,2007,4.66891050338745
Latvia,2009,4.9668116569519
Latvia,2010,5.12502527236938
Latvia,2011,5.06977033615112
Latvia,2012,5.72911548614502
Latvia,2013,5.88059759140015
Latvia,2014,5.94044637680054
Latvia,2015,5.97781753540039
Latvia,2016,5.90115404129028
Latvia,2017,5.96975374221802
Latvia,2018,6.22900867462158
Latvia,2019,6.03200006484985
Latvia,2020,6.18039989471436
Lithuania,2004,5.95444297790527
Lithuania,2005,5.80828475952148
Lithuania,2006,5.55392599105835
Lithuania,2007,5.46692085266113
Lithuania,2008,5.06582498550415
Lithuania,2009,5.43243741989136
Lithuania,2010,5.77103710174561
Lithuania,2011,5.59568929672241
Lithuania,2012,6.12572383880615
Lithuania,2013,5.71137809753418
Lithuania,2014,5.86555242538452
Lithuania,2015,6.27294063568115
Lithuania,2016,6.30887889862061
Lithuania,2017,6.06409788131714
Lithuania,2018,6.39137887954712
Lithuania,2019,6.25540018081665
Lithuania,2020,6.4456000328064
Luxembourg,2007,6.95792007446289
Luxembourg,2008,7.09725189208984
Luxembourg,2009,7.10140037536621
Luxembourg,2010,6.96409702301025
Luxembourg,2011,7.13080930709839
Luxembourg,2012,6.89112710952759
Luxembourg,2013,6.70157146453857
Luxembourg,2014,6.96734094619751
Luxembourg,2015,7.0613808631897
Luxembourg,2016,7.24263095855713
Luxembourg,2017,7.40401554107666
Luxembourg,2019,7.32439994812012
Luxembourg,2020,7.40399980545044
Mexico,2003,6.58065795898438
Mexico,2005,6.52537822723389
Mexico,2006,6.82903623580933
Mexico,2007,6.96281909942627
Mexico,2008,6.8023886680603
Mexico,2009,6.90951538085938
Mexico,2010,7.32018518447876
Mexico,2011,7.44254636764526
Mexico,2012,6.67983102798462
Mexico,2013,6.23628711700439
Mexico,2014,6.82417297363281
Mexico,2015,6.41029930114746
Mexico,2016,6.54957866668701
Mexico,2017,6.43194532394409
Mexico,2018,5.96422100067139
Mexico,2019,6.31680011749268
Mexico,2020,6.12760019302368
Netherlands,2003,7.46397924423218
Netherlands,2005,7.45187950134277
Netherlands,2006,7.63101196289062
Netherlands,2008,7.50187587738037
Netherlands,2009,7.56379795074463
Netherlands,2010,7.47071552276611
Netherlands,2011,7.40655040740967
Netherlands,2012,7.32118844985962
Netherlands,2013,7.32443714141846
Netherlands,2014,7.54087734222412
Netherlands,2015,7.45896530151367
Netherlands,2016,7.4630970954895
Netherlands,2017,7.42526865005493
Netherlands,2018,7.50444793701172
Netherlands,2019,7.46400022506714
Netherlands,2020,7.4148998260498
New Zealand,2004,7.30501413345337
New Zealand,2005,7.60417318344116
New Zealand,2006,7.38117074966431
New Zealand,2008,7.22375631332397
New Zealand,2009,7.19063806533813
New Zealand,2010,7.24962997436523
New Zealand,2011,7.28015184402466
New Zealand,2012,7.30589246749878
New Zealand,2013,7.41812086105347
New Zealand,2014,7.22568798065186
New Zealand,2015,7.32718276977539
New Zealand,2016,7.370285987854
New Zealand,2017,7.20517444610596
New Zealand,2018,7.25738191604614
New Zealand,2019,7.2765998840332
New Zealand,2020,7.19980001449585
Norway,2004,7.41568231582642
Norway,2006,7.63228750228882
Norway,2010,7.67827701568604
Norway,2012,7.44447088241577
Norway,2013,7.60343360900879
Norway,2014,7.59633159637451
Norway,2015,7.57874488830566
Norway,2016,7.44426202774048
Norway,2017,7.44213962554932
Norway,2018,7.29003238677979
Norway,2019,7.39249992370605
Norway,2020,7.36509990692139
Poland,2003,5.58720922470093
Poland,2005,5.88613748550415
Poland,2007,5.77202749252319
Poland,2008,5.88702964782715
Poland,2009,5.64620494842529
Poland,2010,5.87593173980713
Poland,2011,5.74613189697266
Poland,2012,5.75028228759766
Poland,2013,6.0070219039917
Poland,2014,6.16207647323608
Poland,2015,6.20126819610596
Poland,2016,6.11148500442505
Poland,2017,6.24209403991699
Poland,2018,6.13945531845093
Poland,2019,6.166100025177
Poland,2020,6.12279987335205
Portugal,2004,5.40524625778198
Portugal,2006,5.71696662902832
Portugal,2008,5.0945258140564
Portugal,2009,5.21999788284302
Portugal,2010,4.99396228790283
Portugal,2011,5.15768814086914
Portugal,2012,5.12691164016724
Portugal,2013,5.08086633682251
Portugal,2014,5.44663715362549
Portugal,2015,5.71149921417236
Portugal,2016,5.91982269287109
Portugal,2017,6.09547328948975
Portugal,2018,5.76779222488403
Portugal,2019,5.92899990081787
Portugal,2020,6.01630020141602
Slovenia,2004,5.8112645149231
Slovenia,2007,5.83016061782837
Slovenia,2008,6.08255529403687
Slovenia,2009,6.035964012146
Slovenia,2010,6.06289100646973
Slovenia,2011,5.97488880157471
Slovenia,2012,5.67839527130127
Slovenia,2013,5.74064207077026
Slovenia,2014,5.93682146072388
Slovenia,2015,6.16683769226074
Slovenia,2016,6.24941921234131
Slovenia,2017,6.66527366638184
Slovenia,2018,6.46207618713379
Slovenia,2019,6.46070003509521
Slovenia,2020,6.63009977340698
South Africa,2004,5.08398675918579
South Africa,2005,5.20445442199707
South Africa,2006,5.34630680084229
South Africa,2007,5.21843099594116
South Africa,2008,4.65242862701416
South Africa,2009,4.93051147460938
South Africa,2010,5.13388776779175
South Africa,2011,3.66072726249695
South Africa,2012,4.82845640182495
South Africa,2013,4.88732576370239
South Africa,2014,4.76973962783813
South Africa,2015,4.51365518569946
South Africa,2016,4.88392210006714
South Africa,2017,5.03486347198486
South Africa,2018,4.94680070877075
South Africa,2019,4.95639991760254
South Africa,2020,5.1939001083374
Spain,2003,7.15278577804565
Spain,2005,6.99461460113525
Spain,2006,7.29447269439697
Spain,2007,6.19860124588013
Spain,2008,6.18826246261597
Spain,2009,6.51824903488159
Spain,2010,6.29069042205811
Spain,2011,6.15002727508545
Spain,2012,6.45647764205933
Spain,2013,6.38066339492798
Spain,2014,6.31861209869385
Spain,2015,6.23017311096191
Spain,2016,6.51337099075317
Spain,2017,6.45744943618774
Spain,2018,6.50217533111572
Spain,2019,6.49069976806641
Spain,2020,6.47629976272583
Sweden,2003,7.37631559371948
Sweden,2005,7.24136257171631
Sweden,2006,7.51599740982056
Sweden,2007,7.26597738265991
Sweden,2008,7.49601888656616
Sweden,2009,7.38223218917847
Sweden,2010,7.56014776229858
Sweden,2011,7.43401050567627
Sweden,2012,7.23914766311646
Sweden,2013,7.28892230987549
Sweden,2014,7.36874437332153
Sweden,2015,7.28680467605591
Sweden,2016,7.37479209899902
Sweden,2017,7.39809274673462
Sweden,2018,7.31434106826782
Sweden,2019,7.36269998550415
Sweden,2020,7.38430023193359
Turkey,2003,4.71873378753662
Turkey,2005,5.62347173690796
Turkey,2006,5.11823177337646
Turkey,2007,5.21284151077271
Turkey,2008,5.49034738540649
Turkey,2009,5.27194404602051
Turkey,2010,5.3090763092041
Turkey,2011,4.88817739486694
Turkey,2012,5.57979440689087
Turkey,2013,5.51446533203125
Turkey,2014,5.32622194290161
Turkey,2015,5.607262134552
Turkey,2016,5.1856894493103
Turkey,2017,4.87207365036011
Turkey,2018,4.86155414581299
Turkey,2019,4.9475998878479
Turkey,2020,4.74420022964478
